Energy_spread,CFs_CMD
0.0,0.116331
0.0005,0.114173
0.001,0.108619
0.0015,0.101693
0.002,0.094983
0.0025,0.089064
0.003,0.083979
0.0035,0.079616
0.004,0.075848
0.0045000000000000005,0.072567
0.005,0.069684
0.0055,0.067131
0.006,0.064853
