#C >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
#C [SECTION REPORT PULSE HEIGHT SPECTRUM]
#C 
#C For plotting purposes, two energies per bin are given,
#C namely, the low end and the middle point of each bin
#C 
#S 1 Data sets for histograms
#N 8
#L  Elow [eV]  Emiddle [eV]  Source [1/eV]  2sigmaSource  Si [1/eV]  2sigmaSi  Up [1/eV]  2sigmaUp  
  6.15313E+04  6.22817E+04  6.43682E-06  4.1E-07  2.91190E-06  2.8E-07  1.96570E-06  2.3E-07
  6.30321E+04  6.37825E+04  7.79615E-06  4.5E-07  3.58490E-06  3.1E-07  1.65918E-06  2.1E-07
  6.45328E+04  6.52832E+04  7.79615E-07  1.4E-07  3.39832E-07  9.5E-08  1.47261E-06  2.0E-07
  6.60336E+04  6.67839E+04  2.47211E-06  2.6E-07  9.99507E-07  1.6E-07  1.47261E-06  2.0E-07
  6.75343E+04  6.82847E+04  4.67103E-06  3.5E-07  1.96570E-06  2.3E-07  1.26604E-06  1.8E-07
  6.90350E+04  6.97854E+04  2.69201E-06  2.7E-07  1.07280E-06  1.7E-07  1.19941E-06  1.8E-07
  7.05358E+04  7.12861E+04  4.85760E-06  3.6E-07  1.87241E-06  2.2E-07  1.33934E-06  1.9E-07
  7.20365E+04  7.27869E+04  1.87907E-06  2.2E-07  6.86328E-07  1.4E-07  1.13277E-06  1.7E-07
  7.35373E+04  7.42876E+04  1.75247E-06  2.2E-07  5.93041E-07  1.3E-07  1.05281E-06  1.7E-07
  7.50380E+04  7.57884E+04  3.06515E-06  2.9E-07  1.00617E-06  1.6E-07  1.00617E-06  1.6E-07
  7.65387E+04  7.72891E+04  3.73149E-06  3.1E-07  1.24605E-06  1.8E-07  1.08613E-06  1.7E-07
  7.80395E+04  7.87898E+04  1.50592E-06  2.0E-07  3.73149E-07  1.0E-07  8.06269E-07  1.5E-07
  7.95402E+04  8.02906E+04  2.48544E-06  2.6E-07  7.79615E-07  1.4E-07  8.26259E-07  1.5E-07
  8.10410E+04  8.17913E+04  8.99556E-07  1.5E-07  2.53208E-07  8.2E-08  6.79665E-07  1.3E-07
  8.25417E+04  8.32921E+04  2.31219E-06  2.5E-07  5.66387E-07  1.2E-07  8.19596E-07  1.5E-07
  8.40424E+04  8.47928E+04  3.43830E-06  3.0E-07  8.86229E-07  1.5E-07  7.99606E-07  1.5E-07
  8.55432E+04  8.62936E+04  4.59773E-07  1.1E-07  1.06614E-07  5.3E-08  5.46397E-07  1.2E-07
  8.70439E+04  8.77943E+04  1.17275E-06  1.8E-07  2.79862E-07  8.6E-08  6.53011E-07  1.3E-07
  8.85447E+04  8.92950E+04  2.03899E-06  2.3E-07  5.53060E-07  1.2E-07  5.73051E-07  1.2E-07
  9.00454E+04  9.07958E+04  1.21940E-06  1.8E-07  3.39832E-07  9.5E-08  5.06417E-07  1.2E-07
  9.15461E+04  9.22965E+04  1.97902E-06  2.3E-07  4.13130E-07  1.0E-07  4.73100E-07  1.1E-07
